auprc,auroc,f1,recall,window,feature_set,model,fold,n_train,n_test
0.3599188333754395,0.6606793274155853,0.39707835325365204,0.5195482189400521,w2,F4,lgbm,2,22613,5506
0.3541430368805397,0.6640636158981525,0.4186179326099372,0.6108333333333333,w2,F4,lgbm,3,22625,5494
0.27542390966525476,0.6297061323305948,0.3147656940760389,0.3473170731707317,w2,F4,lgbm,4,22359,5760
0.3397536339903714,0.6660766032036102,0.38583815028901736,0.4680105170902717,w2,F4,lgbm,5,22278,5841
0.4254312785012874,0.7463008693007172,0.4484765491270113,0.6396484375,w4,F0,lr,1,22122,5416
0.37084677576901776,0.6751441559345395,0.3992117117117117,0.6480804387568556,w4,F0,lr,2,22136,5402
0.41082215977284725,0.7119447590049721,0.44438877755511025,0.7367109634551495,w4,F0,lr,3,21904,5634
0.22886362084557882,0.6226381825606,0.2926470588235294,0.48894348894348894,w4,F0,lr,4,21826,5712
0.3197148252892683,0.6801142784282652,0.3981514397440455,0.5755395683453237,w4,F0,lr,5,22164,5374
0.43203989830641853,0.730412495375114,0.452801805189921,0.587890625,w4,F0,lgbm,1,22122,5416
0.38559313872890455,0.6908379291789946,0.41816333446289394,0.5639853747714808,w4,F0,lgbm,2,22136,5402
0.40078407307123554,0.7068192556039687,0.44190693691121896,0.6428571428571429,w4,F0,lgbm,3,21904,5634
0.21259142245842674,0.6075742443137299,0.2832409972299169,0.5024570024570024,w4,F0,lgbm,4,21826,5712
0.37861477741476346,0.7110173970084814,0.42025699168556313,0.5714285714285714,w4,F0,lgbm,5,22164,5374
0.4128391199170732,0.7436626830387636,0.4423617619493908,0.69140625,w4,F1,lr,1,22122,5416
0.36251258858292124,0.6730416520261611,0.39527861652484214,0.6581352833638026,w4,F1,lr,2,22136,5402
0.39865234266188526,0.7088364218594152,0.440561161703175,0.7433554817275747,w4,F1,lr,3,21904,5634
0.22656710382067718,0.6261365768307376,0.2923857868020305,0.3538083538083538,w4,F1,lr,4,21826,5712
0.3062763307025984,0.6644462986432356,0.37299771167048057,0.6700924974306269,w4,F1,lr,5,22164,5374
0.4323832838809402,0.7334814853355534,0.4560874481718809,0.5908203125,w4,F1,lgbm,1,22122,5416
0.38757100362276575,0.6878593289301482,0.4184491978609626,0.5722120658135283,w4,F1,lgbm,2,22136,5402
0.3949588395047139,0.7016495054108577,0.4448315911730546,0.6362126245847176,w4,F1,lgbm,3,21904,5634
0.214428710044076,0.6110154523282331,0.2883834281072299,0.43611793611793614,w4,F1,lgbm,4,21826,5712
