split_scheme,model,feature_group,train_n,test_n,train_dropout_rate,test_dropout_rate,n_features_raw,n_numeric_features,n_categorical_features,AUPRC,AUPRC_CI95_low,AUPRC_CI95_high,AUROC,Precision@0.5,Recall@0.5,F1@0.5,BalancedAcc@0.5,variant
latest_presentation_holdout,lightgbm,F4_behavioral_only,21333,11260,0.296723386302911,0.3397868561278863,39,33,6,0.8248771989222157,0.8137220389944453,0.833872401484907,0.8393963058922702,0.7938471297177292,0.6542080501829587,0.717294741366958,0.7833859728988508,drop_assess_submit_ratio_w4
latest_presentation_holdout,xgboost,F1,21333,11260,0.296723386302911,0.3397868561278863,21,15,6,0.8209441657716159,0.809930312316487,0.8300475170403437,0.8372099286405505,0.7339290861919862,0.665446941975954,0.6980123372172721,0.7706438368744446,drop_assess_submit_ratio_w4
latest_presentation_holdout,lightgbm,F4_structural_only,21333,11260,0.296723386302911,0.3397868561278863,38,32,6,0.8203405085596717,0.8090896311502702,0.8293895765551575,0.8349221537753173,0.743801652892562,0.6586513329848406,0.6986415303576379,0.7709452521798026,drop_assess_submit_ratio_w4
latest_presentation_holdout,lightgbm,F4_delta_only,21333,11260,0.296723386302911,0.3397868561278863,38,32,6,0.819960660610469,0.8087000482738828,0.8290318859765207,0.8340632977063467,0.758411639890876,0.6539466806063774,0.7023157894736842,0.7733682824608428,drop_assess_submit_ratio_w4
latest_presentation_holdout,lightgbm,F4_all,21333,11260,0.296723386302911,0.3397868561278863,41,35,6,0.8186265306866741,0.8072129310676319,0.8276974311779344,0.8327187245670947,0.7424464652390731,0.6615263983272347,0.6996544574982723,0.7717101994326515,drop_assess_submit_ratio_w4
latest_presentation_holdout,lightgbm,F1,21333,11260,0.296723386302911,0.3397868561278863,21,15,6,0.8134755231505348,0.8020913282280386,0.8225594585197893,0.830905996114826,0.6741514360313315,0.6748562467328802,0.6745036572622779,0.7534894631565935,drop_assess_submit_ratio_w4
latest_presentation_holdout,logreg,F4_structural_only,21333,11260,0.296723386302911,0.3397868561278863,38,32,6,0.8407002024033445,0.8313267961498575,0.850253095937182,0.8554575613016079,0.8331108144192256,0.6523784631468897,0.731750219876869,0.7925599606560383,drop_assess_due_but_missing_ratio_w4
latest_presentation_holdout,logreg,F4_delta_only,21333,11260,0.296723386302911,0.3397868561278863,38,32,6,0.840377141616576,0.8309475978597154,0.8501516240197596,0.8557188957195159,0.8369491525423729,0.645321484579195,0.7287485242030697,0.7903093836670525,drop_assess_due_but_missing_ratio_w4
latest_presentation_holdout,logreg,F4_behavioral_only,21333,11260,0.296723386302911,0.3397868561278863,39,33,6,0.8397584694247582,0.8301409997770313,0.8494647599627625,0.8544242830548836,0.8232786885245902,0.656299006795609,0.7303664921465969,0.7918971493488403,drop_assess_due_but_missing_ratio_w4
latest_presentation_holdout,logreg,F3,21333,11260,0.296723386302911,0.3397868561278863,37,31,6,0.8394042784542057,0.8297558107082332,0.848770576796041,0.8516314538491082,0.8243331164606376,0.6623105070569786,0.7344927536231884,0.7948356409376902,drop_assess_due_but_missing_ratio_w4
latest_presentation_holdout,logreg,F4_all,21333,11260,0.296723386302911,0.3397868561278863,41,35,6,0.8386677549993569,0.8291262353943162,0.8480555747237726,0.8515254504494052,0.8216726326065734,0.659958180867747,0.7319901434990579,0.793121409508396,drop_assess_due_but_missing_ratio_w4
latest_presentation_holdout,logreg,F1,21333,11260,0.296723386302911,0.3397868561278863,22,16,6,0.8383473873554225,0.8285318367733181,0.8479542211762638,0.8537666400726462,0.830270631473438,0.6495033978044955,0.7288458718287139,0.7905843596501627,drop_assess_due_but_missing_ratio_w4
latest_presentation_holdout,xgboost,F4_behavioral_only,21333,11260,0.296723386302911,0.3397868561278863,39,33,6,0.830314736799423,0.8197302227004234,0.838867629642819,0.8434218509185063,0.8203691496374423,0.6505488761108207,0.7256559766763848,0.7886185327554373,drop_assess_due_but_missing_ratio_w4
